📺央视频道,#genre#
电影1,http://111.43.126.240:9003/hls/97/index.m3u8
电影2,http://111.43.126.240:9003/hls/98/index.m3u8
动作电影,http://111.43.126.240:9003/hls/75/index.m3u8
哈尔滨影视,http://111.43.126.240:9003/hls/5/index.m3u8
黑龙江影视,http://111.43.126.240:9003/hls/7/index.m3u8
黑莓电影,http://111.43.126.240:9003/hls/99/index.m3u8
惊悚悬疑,http://111.43.126.240:9003/hls/77/index.m3u8
中国功夫,http://111.43.126.240:9003/hls/96/index.m3u8

👶儿童频道,#genre#
北京少儿,http://111.43.126.240:9003/hls/71/index.m3u8
哈哈炫动,http://111.43.126.240:9003/hls/72/index.m3u8
黑龙江少儿,http://111.43.126.240:9003/hls/12/index.m3u8
黑莓动画,http://111.43.126.240:9003/hls/100/index.m3u8
金鹰卡通,http://58.17.48.228:808/hls/64/index.m3u8
金鹰卡通,http://111.43.126.240:9003/hls/73/index.m3u8
优漫卡通,http://111.43.126.240:9003/hls/74/index.m3u8
优漫卡通,http://58.17.48.228:808/hls/67/index.m3u8

📂未分类组
军事评论,http://111.43.126.240:9003/hls/91/index.m3u8
农业致富,http://111.43.126.240:9003/hls/92/index.m3u8

📹直播中国,#genre#
1北京-密云古北水镇,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
2天津-海河,https://gcalic.v.myalicdn.com/gc/hkylxs05_1/index.m3u8
3河北-沧州3A南川老街,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
3河北-沧州南大港湿地,https://gctxyc.liveplay.myqcloud.com/gc/ztd_1/index.m3u8
3河北-沧州运河公园,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8
3河北-承德避暑山庄,https://gcalic.v.myalicdn.com/gc/zsslsfwsgz_1/index.m3u8
3河北-承德金山岭长城,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
3河北-承德塞罕坝,https://gcalic.v.myalicdn.com/gc/hssxf_1/index.m3u8
3河北-承德塞罕坝,https://gctxyc.liveplay.myqcloud.com/gc/hssxf_1/index.m3u8
3河北-邯郸4A京娘湖,https://gcalic.v.myalicdn.com/gc/zjjsrsm_1/index.m3u8
3河北-邯郸4A京娘湖,https://gctxyc.liveplay.myqcloud.com/gc/xjtcdhsz_1/index.m3u8
3河北-秦皇岛5A老龙头,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8
3河北-秦皇岛金梦海湾,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8
4山西-晋城釜山泫水湖,https://gctxyc.liveplay.myqcloud.com/gc/zh02_1/index.m3u8
5辽宁-沈阳浑河桥,https://gcalic.v.myalicdn.com/gc/ljgcdsc_1/index.m3u8
6吉林-北山公园,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8
6吉林-临江门大桥,https://gcalic.v.myalicdn.com/gc/zh03_1/index.m3u8
6吉林-朱雀山,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8
7黑龙江-哈尔滨霁虹桥,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
7黑龙江-萝北4A嘟噜河省级自然保护区,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8
8内蒙古-鄂尔多斯萨拉乌苏考古遗址公园,https://gctxyc.liveplay.myqcloud.com/gc/taishan06_1/index.m3u8
9江苏-南京4A玄武湖,https://gcalic.v.myalicdn.com/gc/xwh01_1/index.m3u8
9江苏-无锡大剧院,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8
9江苏-无锡太湖鼋头渚,https://gcalic.v.myalicdn.com/gc/blg05_1/index.m3u8
9江苏-徐州之夜,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8
10浙江-温州泰顺廊桥文化园,https://gcalic.v.myalicdn.com/gc/cntv411-zbzg_1/index.m3u8
10浙江-舟山东极岛,https://gcalic.v.myalicdn.com/gc/djd01_1/index.m3u8
10浙江-舟山嵊泗中心渔港,https://gcalic.v.myalicdn.com/gc/emsyh_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/drs01_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/emsarm_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/yxlcyt_1/index.m3u8
12安徽-黄山风景区,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8
12安徽-黄山风景区,https://gctxyc.liveplay.myqcloud.com/gc/wysyxdhp_1/index.m3u8
13福建-南平武夷山玉女峰,https://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8
15山东-济南趵突泉,https://gcalic.v.myalicdn.com/gc/wgw03_1/index.m3u8
15山东-山东青岛艾山天文台,https://gcalic.v.myalicdn.com/gc/jhs01_1/index.m3u8
16河南-鹤壁浚县古城北城门,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8
16河南-焦作云台山红石峡,https://gcalic.v.myalicdn.com/gc/pts01_1/index.m3u8
16河南-洛阳龙门石窟,https://gcalic.v.myalicdn.com/gc/fhgcdgm_1/index.m3u8
16河南-平顶山鲁山画眉谷,https://gcalic.v.myalicdn.com/gc/xjtcmys_1/index.m3u8
16河南-平顶山鲁山尧山风景区,https://gcalic.v.myalicdn.com/gc/yxhcnh_1/index.m3u8
16河南-商丘4A永城日月湖,https://gcalic.v.myalicdn.com/gc/hgsspzxdpb_1/index.m3u8
16河南-信阳浉河港文新茶村,https://gcalic.v.myalicdn.com/gc/xjtcdgs_1/index.m3u8
18湖南-邵阳崀山八角寨,https://gcalic.v.myalicdn.com/gc/hkts02_1/index.m3u8
18湖南-长沙果园田汉文化园,https://gcalic.v.myalicdn.com/gc/zsslstpt_1/index.m3u8
19广东-广州白江湖,https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8
19广东-广州白江湖,https://gcalic.v.myalicdn.com/gc/zjjmht_1/index.m3u8
19广东-汕尾海丰鸟类省级自然保护区,https://gcalic.v.myalicdn.com/gc/sgns02_1/index.m3u8
19广东-韶关车八岭国家级自然保护区,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8
19广东-深圳大梅沙,https://gctxyc.liveplay.myqcloud.com/gc/ahhs01_1/index.m3u8
19广东-深圳福田红树林,https://gcalic.v.myalicdn.com/gc/djyqyl1_1/index.m3u8
19广东-云浮象窝山小长城,https://gcalic.v.myalicdn.com/gc/nxspthhpl_1/index.m3u8
22重庆-巫山长江大桥,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8
22重庆-巫山长江画卷,https://gcalic.v.myalicdn.com/gc/ljgcwglytylxs_1/index.m3u8
22重庆-渝中区李子坝,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8
23四川-成都安顺廊桥,https://gcalic.v.myalicdn.com/gc/zsslsjjfsd_1/index.m3u8
25青海-尖扎李家峡水电站,https://gcalic.v.myalicdn.com/gc/bsszjs_1/index.m3u8
25青海-门源仙米国家森林公园,https://gcalic.v.myalicdn.com/gc/mdjxxdsb_1/index.m3u8
25青海-祁连野牛沟拉克龙洼,https://gctxyc.liveplay.myqcloud.com/gc/emspxps_1/index.m3u8
26贵州-黔东南加榜梯田,https://gcalic.v.myalicdn.com/gc/qdls03_1/index.m3u8
27云南-保山板桥青龙街,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
27云南-保山比顿咖啡文园园,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
27云南-保山瓦窑码头,https://gcalic.v.myalicdn.com/gc/hsxhdxg_1/index.m3u8
27云南-保山新寨咖啡文旅庄园,https://gcalic.v.myalicdn.com/gc/gccntv241-slf01_1/index.m3u8
27云南-大理无量山樱花谷,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8
27云南-大理云南驿茶马古道,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8
27云南-德宏勐焕大金塔,https://gcalic.v.myalicdn.com/gc/dhyyqsm_1/index.m3u8
27云南-红河建水双龙桥,https://gcalic.v.myalicdn.com/gc/pshdxg01_1/index.m3u8
27云南-红河月亮小镇,https://gcalic.v.myalicdn.com/gc/hsyg_1/index.m3u8
27云南-昆明寻甸城区,https://gcalic.v.myalicdn.com/gc/mdjxxmhjyxj_1/index.m3u8
27云南-丽江玉龙雪山,https://gctxyc.liveplay.myqcloud.com/gc/hkts07_1/index.m3u8
27云南-普洱澜沧景迈山,https://gcalic.v.myalicdn.com/gc/tms05_1/index.m3u8
27云南-西双版纳曼丢,https://gcalic.v.myalicdn.com/gc/fcw03_1/index.m3u8
27云南-云县漫湾昔宜小镇,https://gcalic.v.myalicdn.com/gc/hlwxt_1/index.m3u8
28陕西-西安大雁塔,https://gcalic.v.myalicdn.com/gc/hkylxs01_1/index.m3u8
28陕西-西安阎良关山石川河,https://gcalic.v.myalicdn.com/gc/nss01_1/index.m3u8
28陕西-西安钟楼,https://gcalic.v.myalicdn.com/gc/blg03_1/index.m3u8
28陕西-咸阳乾陵,https://gcalic.v.myalicdn.com/gc/taishan02_1/index.m3u8
29甘肃-定西贵清山植物园,https://gcalic.v.myalicdn.com/gc/lsdfgfl_1/index.m3u8
29甘肃-敦煌鸣沙山,https://gcalic.v.myalicdn.com/gc/fhgcdnhs_1/index.m3u8
29甘肃-兰州中山桥,https://gcalic.v.myalicdn.com/gc/gly01_1/index.m3u8
30新疆-昌吉5A天山天池,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8
31西藏-林芝工布江达岷山错高民宿,https://gcalic.v.myalicdn.com/gc/zjjybf_1/index.m3u8
31西藏-林芝鲁朗色季拉山,https://gcalic.v.myalicdn.com/gc/dhyyqst_1/index.m3u8
31西藏-林芝米林岷山彩门民宿,https://gcalic.v.myalicdn.com/gc/hkylxs06_1/index.m3u8
31西藏-林芝南迦巴瓦星空,https://gcalic.v.myalicdn.com/gc/jhs05_1/index.m3u8
31西藏-日喀则珠穆朗玛峰,https://gcalic.v.myalicdn.com/gc/qdls02_1/index.m3u8

🏮春晚频道,#genre#
1983年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5MTRfNDAzMDAxOTlfNjYyNzMxNjcwMjBfMF8z_b_Beb3bda599f76c60c463c433ca7460153.mp4
1984年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
1985年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
1986年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
1987年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
1988年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
1989年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
1990年春晚,https://cdn8.yzzy-online.com/20220704/597_e0d90c37/1000k/hls/index.m3u8
1991年春晚,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
1992年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
1993年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYwODJfMF8z_b_B647d10e431b4cc5e48e6c77347d69021.mp4
1994年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxMjNfMF8z_b_B3dde97f36273f04403d4dc5eec611a35.mp4
1995年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
1996年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
1997年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
1998年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
1999年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
2000年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
2001年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMDFfMF8z_b_B70592cb7c4054e9cabb675e849bbf4bd.mp4
2002年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxNDdfMF8z_b_Ba6271d10b7e6cfae83759033a091f257.mp4
2003年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
2004年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxOTVfMF8z_b_B86c4430b82ff5a7f4e8132f6ee558536.mp4
2005年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMzhfMF8z_b_B35ad7cc86aec8fc9e5ddfb31fc7bed63.mp4
2006年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyNzlfMF8z_b_Bbc3703fc331dc994c50859c19aad28ff.mp4
2007年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzMjNfMF8z_b_B00b069c7899976459ceeaa99353dfefe.mp4
2008年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzNTNfMF8z_b_Bd7346962e61bd7b84e11a1fa6e4616f9.mp4
2009年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzOTBfMF8z_b_B29a36a85e0277f6c2a1f033ef7c10708.mp4
2010年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4
2011年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/16/11/BMjAyMzAxMTYxMTA3MjFfNDAzMDAxOTlfOTM3MjcyMjA3ODhfMF8z_b_B8214200efc869dc6fcf99dad619fa4c1.mp4
2012年春晚,https://cdn8.yzzy-online.com/20220704/591_82b72f82/1000k/hls/index.m3u8
2013年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ1NjNfMF8z_b_B4fea55408dca4471a68a963ae096be59.mp4
2014年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4
2015年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2MTZfMF8z_b_B4851f43f5a2bc2871a9b0ec87294a6e7.mp4
2016年春晚,https://cdn8.yzzy-online.com/20220704/577_cda9c8d1/1000k/hls/index.m3u8
2017年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2NDhfMF8z_b_B6527b0c2ce3dda1d9b3f34edd4fdb9aa.mp4
2018年春晚,https://cdn8.yzzy-online.com/20220704/610_ae5255ad/1000k/hls/index.m3u8
